Date,AAPL,BAC,GOOG,GS,LLY,META,MRK,TSLA,WMT,XOM
2023-09-05,0.0012666658184712354,-0.011387230937028758,-0.0006577044819550126,-0.01114871535401829,0.0019386049973102448,0.012720264391538283,-0.021212677341454933,0.046855214011356505,-0.008045965612131,8.7987145918067e-05
2023-09-06,-0.03579328745024679,-0.009075102257530276,-0.009801798758603208,-0.008092463404549055,0.0031531244343345755,-0.0032651267762344727,-0.00948747182050802,-0.017817428513501543,0.007487315913874637,0.00863215015033858
2023-09-07,-0.029249433111556478,-0.00915821398594907,0.006131287955957632,0.002584484338148174,0.02371626745481259,-0.0016711491331840023,0.013616346436351456,-0.0017068620153485314,0.012386242667763891,-0.00489045263369825
2023-09-08,0.0034917190459333725,0.008176483951701119,0.007342230040191078,0.011057244852650472,0.023080007189472118,-0.0026117276860039285,0.010283591836633521,-0.01188916230408743,0.001835241141806332,0.01456792960280251
2023-09-11,0.00662266357895791,0.004231206137492283,0.0039357308691156945,-0.002672613210279784,0.015516460167753099,0.03246173170160538,-0.004126676752581049,0.10092549928477124,0.0034804481805452703,-0.012542254875053227
2023-09-12,-0.01706060125709874,0.017205129914292572,-0.012124224801956518,0.019251477126700944,0.006280048042393682,-0.019183225488081268,0.003867391437848644,-0.022296863386701782,0.0010952579781697835,0.02916968235984907
2023-09-13,-0.011854793742066994,-0.0031066550425480344,0.0105090215020045,0.012330019581084928,-0.0007009607273048557,0.011270930864936135,-0.011098942015277502,0.014281354305895722,0.00024320394993004868,-0.008936798963426695
2023-09-14,0.008782561748146511,0.011080268062688248,0.010836565091991046,0.02862860394592337,-0.012139323908743838,0.021831859482331017,0.010833099772141086,0.017471511114000693,0.004192959325151513,0.017863066063385835
2023-09-15,-0.004154076989256961,-0.012328739955681622,-0.004964315933566943,-0.00589135786554984,-0.026960449230047034,-0.036603438992391935,-0.006651939863103529,-0.005977372284481253,-0.0036913352690390866,-0.015356020876260645
2023-09-18,0.016913500861148068,-0.002773856067187941,0.004772263439270841,0.0022770676547767543,-0.007608407129381267,0.007458921905361349,0.002790105240960905,-0.033200974462619715,-0.007410166544115637,0.008054736596722956
2023-09-19,0.006180821835980899,-0.0038248029530943972,-0.0009356072673842863,-0.004165123966863971,0.006441859738224087,0.008329351373308036,-0.004266283755122169,0.004598918977371191,-0.0002447688851812124,-0.002635133150774349
2023-09-20,-0.019992384100217198,-0.003490314448578058,-0.03054082528962132,-0.015180314669970496,-0.009253046195651926,-0.017700868074862153,-0.00046572345796258574,-0.014671683535119606,0.0032440718976043392,-0.00792635757018767
2023-09-21,-0.008889408969076307,-0.017513197017127724,-0.023998893794555776,-0.01918630524956111,-0.03424976443818872,-0.013147893278756873,-0.00540501773571056,-0.026238620989897266,-0.012140901508408297,-0.014089250316829172
2023-09-22,0.004944535771371328,-0.014616900198843208,-0.000837515736378136,-0.007115917476711808,0.0007451775510767256,0.011327877924540708,-0.003653945798908431,-0.042315182614647506,0.0026556229155167976,0.0015684780594580339
2023-09-25,0.007380355644279968,-0.0014471421303678955,0.007009620914934622,0.00289708720789994,0.003178857372041266,0.005851193537871113,-0.004701906108656062,0.008616467528091087,0.0044348775139952945,0.011223289583171203
2023-09-26,-0.023398549959646076,-0.01557976667955141,-0.02057955617339513,-0.015265568663414109,-0.004128240177377118,-0.006216162144377924,-0.004251706623134011,-0.011619945391094011,-0.003495460900640901,0.001548712915782069
2023-09-27,-0.008897388579565568,0.003680663991994404,0.015527455823426184,-0.0057747544947259755,-0.0004545115188919757,-0.004080818515664997,-0.013758361554470966,-0.014828753029631048,-0.00479997958257683,0.03255733334789723
2023-09-28,0.0015256006616284346,0.010634281526485712,0.012703410241767354,0.010094680045023008,-0.00965885723817883,0.020890846042868727,0.003463525316239169,0.02444908475181906,0.005070618114314973,-0.0060732737537975146
2023-09-29,0.0030465534992230037,-0.006531042762748296,-0.009614783136655092,-0.005012423229672325,-0.013444683480339226,-0.012337320150378916,-0.012943529625696448,0.015585665483353939,-0.0160577995538993,-0.015819917715505616
2023-10-02,0.014835515672727118,-0.02483562262990835,0.025180134548251853,-0.01566892875670678,0.002159675607341427,0.022018131299898602,-0.0038853061687782464,0.005515166158101437,0.0010631343877451904,-0.016584473433025826
2023-10-03,-0.007769762880297515,-0.02958796340952008,-0.013834401482004322,-0.03886953927995529,-0.024336543500457553,-0.019164272445360675,-0.007606088728732807,-0.020151062008054166,-0.006308448561145097,0.0017297294325229196
2023-10-04,0.007308522675125717,0.0011577464340921662,0.02228059032749785,0.008101172379011423,0.011938522950592168,0.015417948801885517,0.0039304369499619796,0.05934371052307452,0.012005727437771396,-0.03738240000831994
2023-10-05,0.007198105205444172,0.0046258662543186,-0.002054890228692541,0.006156779132729273,0.01885401562565492,-0.0025849086789180298,0.013996251711430707,-0.00425032873937603,-0.011925503365134649,-0.022511282800850574
2023-10-06,0.01475031690358275,0.000383955105343059,0.02014873759812552,0.006376865060231607,0.043842356551224704,0.03490913211947211,0.0027026584712206425,0.001845841218459432,-0.01678426517448839,-0.01669881633151804
2023-10-09,0.008451196161668673,0.00920591062355891,0.005550050147847152,0.00041624472446688543,0.011571180022380334,0.00928896090808995,0.005968481992264296,-0.003300907210654902,-0.0036442243322970524,0.03499125952251503
2023-10-10,-0.003352200594385235,0.026605966404823267,-0.0021502101547388186,0.006909321747309294,0.013204572393860303,0.010931121393167986,-0.008516774510550884,0.015211543440507347,0.011293824127014185,-0.004237383686891083
2023-10-11,0.007904180745390343,0.0003701485010421113,0.017959535917966063,-0.005559546291180828,0.04482915458219927,0.01858057905450683,-0.0014477388185478723,-0.002389822071472425,0.003997381330218097,-0.035853267425958735
2023-10-12,0.005061121559387871,-0.004441044098161151,-0.009950582762737525,-0.010127087253746558,0.008624255391932678,-0.011164488502835357,0.0012565582306129919,-0.015665976919941982,0.0045504275701211405,-0.0001878270033957019
2023-10-13,-0.010292561432838965,-0.00520448238300375,-0.012188913121049083,-0.0017750961554079403,-0.0021294245814781343,-0.029214092449767803,0.004054579570442085,-0.02993780718577166,0.005536349928744189,0.03193407487211841
2023-10-16,-0.000727190981414938,0.008594855370150034,0.013782786895261134,0.016456605752238174,0.012212592100486086,0.020528082721996466,0.0012496736776723694,0.01115006015531006,0.00863401704673783,0.0007278903681373627
2023-10-17,-0.00878451710272099,0.023342000960092424,0.0035587941166383974,-0.015999216769558622,-0.013508460532916544,0.008874373492295362,0.00028818590999946103,0.0036626021631882555,0.0013027444312152525,0.013096909583406369
2023-10-18,-0.007394989208135749,-0.011223766140974312,-0.012128395518937518,-0.023920519342144786,-0.0017590726120914058,-0.02169736624690921,-0.02092731150703342,-0.04775363208267347,0.0007433317290097552,0.014004835251192116
2023-10-19,-0.002161008109580087,-0.012815946769238473,-0.0021542689549308713,-0.009173197214923046,-0.02707315243923425,-0.013124342041940462,-0.015295784839896243,-0.09300310180733784,-0.004766655322697044,0.0006196847791584137
