Date,AAPL,BAC,GOOG,GS,LLY,META,MRK,TSLA,WMT,XOM
2023-09-01,187.0929412841797,27.107513427734375,135.60443115234375,307.729248046875,546.5317993164062,293.7999572753906,100.14681243896484,245.00999450683594,52.311744689941406,103.5321273803711
2023-09-05,187.3299560546875,26.798837661743164,135.51519775390625,304.2984924316406,547.5912475585938,297.5372009277344,98.02242279052734,256.489990234375,51.890838623046875,103.541259765625
2023-09-06,180.62477111816406,26.555639266967773,134.18692016601562,301.8359680175781,549.31787109375,296.5657043457031,97.09244537353516,251.9199981689453,52.27935791015625,104.4350357055664
2023-09-07,175.34164428710938,26.312437057495117,135.00967407226562,302.61602783203125,562.3456420898438,296.070068359375,98.41448974609375,251.49000549316406,52.926910400390625,103.9242935180664
2023-09-08,175.953857421875,26.527576446533203,136.0009307861328,305.962158203125,575.3245849609375,295.29681396484375,99.4265365600586,248.5,53.02403259277344,105.43824768066406
2023-09-11,177.1190948486328,26.63982391357422,136.53622436523438,305.1444396972656,584.251708984375,304.8826904296875,99.01624298095703,273.5799865722656,53.208587646484375,104.11582946777344
2023-09-12,174.09735107421875,27.098159790039062,134.8808135986328,311.0189514160156,587.9205932617188,299.0339660644531,99.39918518066406,267.4800109863281,53.2668571472168,107.15283966064453
2023-09-13,172.0334930419922,27.013978958129883,136.29830932617188,314.8538513183594,587.5086669921875,302.4044189453125,98.29595947265625,271.29998779296875,53.279823303222656,106.19524383544922
2023-09-14,173.5443572998047,27.31330108642578,137.77528381347656,323.8676452636719,580.3766479492188,309.0064697265625,99.36080932617188,276.0400085449219,53.50321578979492,108.09222412109375
2023-09-15,172.82350158691406,26.9765625,137.09129333496094,321.9595642089844,564.7296142578125,297.6957702636719,98.69984436035156,274.3900146484375,53.30571746826172,106.4323501586914
2023-09-18,175.74652099609375,26.901731491088867,137.74551391601562,322.6927490234375,560.4326782226562,299.9162902832031,98.9752426147461,265.2799987792969,52.91071319580078,107.28963470458984
2023-09-19,176.832763671875,26.798837661743164,137.61666870117188,321.3486328125,564.0429077148438,302.4143371582031,98.55297088623047,266.5,52.89776611328125,107.00691223144531
2023-09-20,173.29751586914062,26.705299377441406,133.4137420654297,316.47052001953125,558.8239135742188,297.06134033203125,98.50707244873047,262.5899963378906,53.06937026977539,106.15876007080078
2023-09-21,171.7569580078125,26.237606048583984,130.21197509765625,310.3985900878906,539.6842651367188,293.1556396484375,97.97467041015625,255.6999969482422,52.42506790161133,104.66303253173828
2023-09-22,172.60623168945312,25.854097366333008,130.10289001464844,308.1897277832031,540.0864868164062,296.4764404296875,97.61665344238281,244.8800048828125,52.56428527832031,104.82720184326172
2023-09-25,173.88011169433594,25.816680908203125,131.01487731933594,309.08270263671875,541.80322265625,298.21124267578125,97.15766906738281,246.99000549316406,52.79739761352539,106.00370788574219
2023-09-26,169.8115997314453,25.41446876525879,128.3186492919922,304.36431884765625,539.5665893554688,296.35748291015625,96.74459075927734,244.1199951171875,52.612850189208984,106.16787719726562
2023-09-27,168.30068969726562,25.508005142211914,130.31109619140625,302.6067199707031,539.3214111328125,295.1481018066406,95.41353607177734,240.5,52.36030197143555,109.62440490722656
2023-09-28,168.55746459960938,25.77927017211914,131.96649169921875,305.661376953125,534.1122436523438,301.3139343261719,95.7440185546875,246.3800048828125,52.625797271728516,108.9586181640625
