Ticker,AAPL,BAC,GOOG,GS,LLY,META,MRK,TSLA,WMT,XOM
AAPL,0.07702317522090461,0.024328476119148304,0.03743612088993478,0.031962828113363914,0.016206534930235224,0.04088979585339086,0.010410090200390265,0.07732660314239402,0.01775368265453031,0.011986426759351073
BAC,0.024328476119148304,0.0655759908759501,0.019122538795165338,0.056198054633067596,0.013621659736841762,0.02684620400608096,0.007873256144645598,0.05691868953108862,0.01424776176756184,0.02094524309299973
GOOG,0.03743612088993478,0.019122538795165338,0.08755218848271694,0.02993812056039466,0.013392542519550521,0.050566189127662385,0.0015711477321056896,0.07129955685331453,0.010827835503219141,0.003486378851757138
GS,0.031962828113363914,0.056198054633067596,0.02993812056039466,0.08032984708944024,0.020510750437220716,0.039662867721369136,0.008164302440152727,0.07713429375283384,0.016704706221026967,0.021469173091859223
LLY,0.016206534930235224,0.013621659736841762,0.013392542519550521,0.020510750437220716,0.12443448849298384,0.03529180770525018,0.02692998586407583,0.03062458645653964,0.014382967385933658,0.0044878403430356675
META,0.04088979585339086,0.02684620400608096,0.050566189127662385,0.039662867721369136,0.03529180770525018,0.1311781146593894,0.003625236767418535,0.0769525038795023,0.019688900729340954,0.006246575428527215
MRK,0.010410090200390265,0.007873256144645598,0.0015711477321056896,0.008164302440152727,0.02692998586407583,0.003625236767418535,0.05840781759716422,0.006988400380452867,0.005346989583315371,0.006472995399402356
TSLA,0.07732660314239402,0.05691868953108862,0.07129955685331453,0.07713429375283384,0.03062458645653964,0.0769525038795023,0.006988400380452867,0.39514917765716767,0.03442330923045119,0.013641993192748201
WMT,0.01775368265453031,0.01424776176756184,0.010827835503219141,0.016704706221026967,0.014382967385933658,0.019688900729340954,0.005346989583315371,0.03442330923045119,0.04472762111114357,0.0035698570077495554
XOM,0.011986426759351073,0.02094524309299973,0.003486378851757138,0.021469173091859223,0.0044878403430356675,0.006246575428527215,0.006472995399402356,0.013641993192748201,0.0035698570077495554,0.04886470525916197
