Target Return (%),Expected Return (%),Annualized Volatility (%),Weights
10.09,10.09,13.86,"[3.44502541e-02 2.60208521e-18 9.35989235e-02 6.12574227e-18
 1.11831812e-02 8.23993651e-18 3.30914389e-01 0.00000000e+00
 1.86122214e-01 3.43731039e-01]"
10.67,10.67,13.76,"[3.28493469e-02 9.66295186e-18 9.83917339e-02 0.00000000e+00
 1.31376492e-02 2.92734587e-18 3.20678880e-01 3.69983991e-18
 1.96805741e-01 3.38136649e-01]"
11.25,11.25,13.67,"[3.06452202e-02 1.00288701e-17 1.02897576e-01 4.98732999e-18
 1.29489641e-02 0.00000000e+00 3.10570663e-01 0.00000000e+00
 2.09297534e-01 3.33640043e-01]"
11.83,11.83,13.59,"[2.49963599e-02 2.33103467e-18 1.07644050e-01 0.00000000e+00
 1.69151711e-02 0.00000000e+00 3.01088851e-01 3.90312782e-18
 2.21003428e-01 3.28352141e-01]"
12.41,12.41,13.52,"[2.33317339e-02 8.34158046e-18 1.14165561e-01 4.44522891e-18
 1.93093075e-02 0.00000000e+00 2.90717390e-01 0.00000000e+00
 2.29806572e-01 3.22669435e-01]"
13.0,13.0,13.46,"[1.98416567e-02 2.68206095e-03 1.18627470e-01 2.11419424e-18
 2.19393437e-02 0.00000000e+00 2.81149972e-01 0.00000000e+00
 2.38954934e-01 3.16804563e-01]"
13.58,13.58,13.41,"[1.76069828e-02 8.51899858e-03 1.21955602e-01 4.93311988e-18
 2.25457342e-02 0.00000000e+00 2.71668411e-01 1.47722546e-18
 2.46744321e-01 3.10959951e-01]"
14.16,14.16,13.37,"[1.54057934e-02 1.62147880e-02 1.23703067e-01 4.11996826e-18
 2.47106929e-02 0.00000000e+00 2.62700246e-01 0.00000000e+00
 2.53522296e-01 3.03743116e-01]"
14.74,14.74,13.33,"[1.29326584e-02 2.23256022e-02 1.26617785e-01 1.19262239e-18
 2.58476372e-02 0.00000000e+00 2.53122254e-01 8.02309608e-18
 2.61195624e-01 2.97958440e-01]"
15.32,15.32,13.31,"[1.02619504e-02 2.88578611e-02 1.29168979e-01 0.00000000e+00
 2.74164535e-02 8.45677695e-18 2.43878179e-01 6.28837260e-18
 2.68782306e-01 2.91634271e-01]"
15.9,15.9,13.29,"[6.85049973e-03 3.64698828e-02 1.30566730e-01 4.87890978e-19
 2.87794947e-02 0.00000000e+00 2.35116962e-01 2.92734587e-18
 2.77048686e-01 2.85167745e-01]"
16.48,16.48,13.28,"[5.08864085e-03 4.15753949e-02 1.33898166e-01 3.78115508e-18
 3.04712908e-02 8.53113681e-04 2.25522163e-01 1.62630326e-19
 2.83346904e-01 2.79244326e-01]"
17.06,17.06,13.28,"[1.51663299e-03 4.71743198e-02 1.33734165e-01 1.61275073e-18
 3.17109079e-02 4.68265694e-03 2.18336303e-01 4.44522891e-18
 2.89891855e-01 2.72953159e-01]"
17.64,17.64,13.29,"[5.97666448e-18 5.24271832e-02 1.34402222e-01 6.50521303e-19
 3.27793040e-02 7.55148644e-03 2.09946519e-01 0.00000000e+00
 2.96156187e-01 2.66737098e-01]"
18.22,18.22,13.31,"[0.         0.05758325 0.13415119 0.         0.03352443 0.01040203
 0.20129258 0.         0.30278922 0.2602573 ]"
18.8,18.8,13.33,"[0.00000000e+00 6.41640171e-02 1.34451305e-01 3.63207728e-18
 3.12843221e-02 1.32322563e-02 1.92503027e-01 0.00000000e+00
 3.09214029e-01 2.55151044e-01]"
19.38,19.38,13.36,"[6.22060996e-18 6.84479528e-02 1.33951546e-01 1.49077799e-18
 3.46341728e-02 1.72230357e-02 1.84097271e-01 2.03287907e-19
 3.13779804e-01 2.47866217e-01]"
19.96,19.96,13.4,"[1.84314369e-18 7.30860148e-02 1.33918610e-01 0.00000000e+00
 3.54452979e-02 2.08685473e-02 1.75321079e-01 2.49366500e-18
 3.19394608e-01 2.41965843e-01]"
20.54,20.54,13.45,"[6.30192513e-19 7.74493652e-02 1.33586057e-01 0.00000000e+00
 3.40158771e-02 2.60001895e-02 1.68456061e-01 0.00000000e+00
 3.25332844e-01 2.35159607e-01]"
21.12,21.12,13.51,"[0.00000000e+00 7.63193844e-02 1.34071903e-01 3.78593207e-03
 3.49071208e-02 2.83125677e-02 1.60201552e-01 4.06575815e-18
 3.32577749e-01 2.29823791e-01]"
21.7,21.7,13.57,"[7.20994445e-18 7.58866897e-02 1.33466526e-01 1.07597698e-02
 3.53153689e-02 3.04580698e-02 1.53630390e-01 5.20417043e-18
 3.36625674e-01 2.23857512e-01]"
22.28,22.28,13.64,"[1.70761842e-18 7.57128840e-02 1.32818648e-01 1.76563236e-02
 3.51139112e-02 3.21493465e-02 1.46708207e-01 7.20994445e-18
 3.41480374e-01 2.18360306e-01]"
22.86,22.86,13.72,"[1.73472348e-18 7.52265492e-02 1.31977921e-01 2.47317258e-02
 3.58470784e-02 3.45323764e-02 1.40497282e-01 0.00000000e+00
 3.45245228e-01 2.11941840e-01]"
23.44,23.44,13.8,"[0.         0.07557218 0.1308081  0.03256567 0.0361738  0.03693033
 0.13489755 0.         0.34784244 0.20520993]"
24.02,24.02,13.89,"[0.         0.07516796 0.13023118 0.03873179 0.03524969 0.03812385
 0.12753714 0.         0.35494242 0.20001597]"
24.6,24.6,13.98,"[0.00000000e+00 7.47283005e-02 1.29417790e-01 4.53053504e-02
 3.70592138e-02 3.99997836e-02 1.19743988e-01 3.00866103e-18
 3.58896921e-01 1.94848653e-01]"
25.18,25.18,14.08,"[8.26704157e-18 7.45796318e-02 1.28511101e-01 5.20702762e-02
 3.73444933e-02 4.18744423e-02 1.12908979e-01 0.00000000e+00
 3.63640948e-01 1.89070129e-01]"
25.76,25.76,14.18,"[8.14506882e-18 7.42399353e-02 1.27680540e-01 5.84898263e-02
 3.74393405e-02 4.36980673e-02 1.05942893e-01 3.04593048e-18
 3.69147619e-01 1.83361779e-01]"
26.34,26.34,14.29,"[5.04154010e-18 7.40431225e-02 1.26809720e-01 6.50244575e-02
 3.75350004e-02 4.54778506e-02 9.89426263e-02 1.16009632e-17
 3.74434690e-01 1.77732533e-01]"
26.92,26.92,14.4,"[0.00000000e+00 7.38001487e-02 1.25993563e-01 7.20842441e-02
 3.87877068e-02 4.78034067e-02 9.19488017e-02 4.74338450e-19
 3.77431929e-01 1.72150200e-01]"
27.5,27.5,14.52,"[0.         0.07354798 0.12515935 0.07867636 0.03920956 0.04975576
 0.08499157 0.         0.38221851 0.16644091]"
28.08,28.08,14.65,"[5.28548559e-19 7.32932125e-02 1.24328839e-01 8.52733995e-02
 3.96453580e-02 5.16881264e-02 7.80270445e-02 0.00000000e+00
 3.87016634e-01 1.60727386e-01]"
28.66,28.66,14.78,"[3.96411419e-18 7.30301452e-02 1.23510184e-01 9.18917632e-02
 4.01000456e-02 5.36032155e-02 7.10665456e-02 0.00000000e+00
 3.91797410e-01 1.55000691e-01]"
29.24,29.24,14.91,"[2.64274280e-19 7.21824589e-02 1.22990814e-01 9.92738693e-02
 4.12867064e-02 5.60527279e-02 6.41369501e-02 0.00000000e+00
 3.94492245e-01 1.49584228e-01]"
29.82,29.82,15.05,"[6.83047369e-18 6.23734200e-02 1.24514334e-01 1.13102812e-01
 4.17754896e-02 5.76256361e-02 5.53706737e-02 0.00000000e+00
 3.95247633e-01 1.49990002e-01]"
30.4,30.4,15.19,"[3.11708125e-18 5.85829307e-02 1.23840111e-01 1.22120729e-01
 4.13468971e-02 5.88854831e-02 4.83088787e-02 1.33356867e-17
 4.01167391e-01 1.45747580e-01]"
30.98,30.98,15.34,"[0.         0.05678385 0.12313952 0.12993139 0.04150651 0.06100402
 0.04168739 0.         0.40552762 0.14041969]"
31.56,31.56,15.49,"[1.68051337e-18 5.50075928e-02 1.22419166e-01 1.37724797e-01
 4.16552491e-02 6.31339786e-02 3.50767835e-02 6.50521303e-18
 4.09903175e-01 1.35079259e-01]"
32.14,32.14,15.64,"[0.         0.05321232 0.12167795 0.14552725 0.04180142 0.06525234
 0.0284682  0.         0.414323   0.12973752]"
32.72,32.72,15.8,"[0.         0.05141848 0.12090856 0.15331877 0.0419286  0.0673682
 0.02185828 0.         0.41879803 0.1244011 ]"
33.3,33.3,15.96,"[6.55942314e-18 4.96751103e-02 1.20144486e-01 1.61077167e-01
 4.20342744e-02 6.94901574e-02 1.52573239e-02 8.67361738e-19
 4.23275712e-01 1.19045768e-01]"
33.88,33.88,16.13,"[0.00000000e+00 4.71682161e-02 1.18667346e-01 1.69833940e-01
 4.20457777e-02 7.05442931e-02 8.64815218e-03 1.09504419e-17
 4.29351156e-01 1.13741119e-01]"
34.46,34.46,16.3,"[2.20482676e-17 4.54228209e-02 1.17873673e-01 1.77673219e-01
 4.21676540e-02 7.25661525e-02 2.05367792e-03 0.00000000e+00
 4.33884998e-01 1.08357804e-01]"
35.04,35.04,16.47,"[0.00000000e+00 4.17428995e-02 1.16406762e-01 1.88575712e-01
 4.08658185e-02 7.56919804e-02 6.43745040e-19 0.00000000e+00
 4.37322811e-01 9.93940164e-02]"
35.62,35.62,16.65,"[2.87991202e-18 3.78622927e-02 1.14349570e-01 2.00391243e-01
 3.84235262e-02 7.87617320e-02 0.00000000e+00 0.00000000e+00
 4.41727153e-01 8.84844833e-02]"
36.2,36.2,16.84,"[0.         0.03404456 0.11220386 0.21231715 0.03609299 0.08178575
 0.         0.         0.44599471 0.07756098]"
36.78,36.78,17.02,"[1.13400771e-17 3.00941750e-02 1.09211310e-01 2.24843540e-01
 3.45459031e-02 8.42824052e-02 0.00000000e+00 2.88668828e-18
 4.50643125e-01 6.63795418e-02]"
37.36,37.36,17.22,"[0.00000000e+00 2.61717707e-02 1.07109655e-01 2.36679843e-01
 3.22458205e-02 8.75900119e-02 2.97477971e-18 9.14795583e-19
 4.54650053e-01 5.55528458e-02]"
37.94,37.94,17.42,"[1.14518854e-17 2.23425794e-02 1.04563085e-01 2.48921414e-01
 3.04180134e-02 9.05536192e-02 0.00000000e+00 9.35124374e-18
 4.58634603e-01 4.45666862e-02]"
38.52,38.52,17.62,"[0.00000000e+00 1.90287886e-02 1.02122380e-01 2.61218937e-01
 2.81928962e-02 9.35676214e-02 0.00000000e+00 1.80248611e-17
 4.62089705e-01 3.37796725e-02]"
