Metric,Value
Annual Return (%),35.88
Annual Volatility (%),14.6
Sharpe Ratio,2.46
Sortino Ratio,5.19
Maximum Drawdown (%),-4.31
Calmar Ratio,8.32
Skewness,0.35
Excess Kurtosis,-0.1
Historical VaR (95%),-1.19
Historical CVaR (95%),-1.51
